,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,Time_Start,Time_End,Humpback
9688,39.94011722,0.479655599,5.226955538,6.182324573,6.999042677,0.350589593,-0.429906801,0.352349543,-3.794778507,-1.493636743,-0.474076865,2.926435913,-0.08549281,968.7,968.8,1
9689,42.68670569,1.033295412,2.64404742,6.446644532,6.243962086,-2.72878132,-1.376697706,0.49507001,-4.845358738,-2.243879007,0.855990115,4.257713663,1.655743521,968.8,968.9,1
9690,41.70904713,-0.054686722,1.332829837,5.288922559,6.846938201,0.029931547,-0.360041878,-0.95388659,-5.532699889,-2.723227076,-1.453736238,3.235481406,0.126638628,968.9,969,0
9691,42.15904345,0.28517302,3.037909183,8.638800329,7.520877991,-1.949878397,0.736304754,1.085792674,-4.505445496,-2.421698956,-2.308166429,1.82995606,0.385675279,969,969.1,0
9692,41.55833355,0.347953903,3.357631251,5.364683726,7.694302778,0.925760108,-0.780604718,-0.393141985,-5.186559755,-2.462817644,-2.184875263,0.38083743,-1.811581502,969.1,969.2,0
9693,42.80917875,0.476750904,0.702786444,4.5209351,6.282558374,-0.290432347,0.457966313,1.19209593,-4.887298994,-2.223624004,0.149141329,5.005569365,2.503299945,969.2,969.3,0
9694,44.72905488,3.846717745,4.130344094,5.000260537,4.890146429,-1.02738265,-1.126718047,-1.852802468,-6.527079216,-0.486450548,1.204760001,-0.956953443,-5.20368249,969.3,969.4,0
9695,39.40821235,-0.874520846,3.526850489,6.292050056,7.365945437,0.687913126,-0.511963564,1.103221524,-3.729110215,-2.678514413,-0.285620086,0.897471789,-2.128970137,969.4,969.5,0
9696,40.31761105,0.325551873,4.08627317,5.46980056,6.295172271,-0.760808825,-1.79544967,-0.487044459,-4.882466826,-2.750128062,-2.882133443,-0.426394744,-0.166227438,969.5,969.6,0
9697,41.34627027,1.917695395,5.861947636,6.33774289,5.265546193,-1.252249594,-1.54462119,-0.719221863,-4.786834319,-1.566031076,-0.281236045,1.762788714,0.589918202,969.6,969.7,0
9698,41.18198522,1.078243169,4.674446226,6.509832318,6.840198451,0.25008847,-2.66457511,-3.613266251,-6.152062912,-2.787156409,-3.487518772,-0.491112883,-0.658777848,969.7,969.8,0
9699,42.60642306,0.199148495,4.295942978,9.018520113,9.194933855,-1.227355642,-0.906145741,0.010608003,-6.411607088,-3.172404083,-1.926013776,2.981436322,-5.309296996,969.8,969.9,0
9700,40.72903535,-0.99339409,1.348345793,6.777532646,8.895495552,0.086561662,-0.274995408,0.524895441,-6.440945451,-2.727708602,2.977327425,4.788660245,1.025328178,969.9,970,0
9701,40.32298804,0.361863079,4.18027479,5.266097906,5.784360149,-0.165341808,-1.844249833,-2.722473194,-7.417114235,-2.495507549,0.123994152,4.05193371,1.43959179,970,970.1,0
9702,44.2682305,3.07783912,4.500034443,4.781944838,3.413222059,-4.115811021,-3.8565005,-1.434457667,-4.610069978,-3.334620145,-2.404977024,4.164324599,-2.073444584,970.1,970.2,0
9703,41.94866301,1.932652618,5.218043678,6.550460945,7.960315111,2.092143932,0.747996712,1.405679171,-1.295475762,0.945634836,-0.311456668,2.240742198,0.276562012,970.2,970.3,0
9704,42.15350331,1.758995605,4.565961098,6.53053604,7.936094385,0.680679658,0.436517191,1.184235926,-3.811288244,-0.529422222,0.064828043,3.979804551,3.592057237,970.3,970.4,0
9705,40.56529364,1.499010385,5.618989576,5.472927047,5.800431954,0.525992931,-0.774688851,-0.444332076,-4.076090958,-2.907734439,-1.936488192,2.469420473,3.173343954,970.4,970.5,0
9706,41.90707346,0.499011787,1.150004008,3.277482597,5.682444566,1.436291806,3.537178806,2.629933297,-7.866651431,-6.15287563,0.244856342,7.015524045,6.327211134,970.5,970.6,0
9707,39.80922864,0.07502769,3.910991777,5.859132178,7.947349273,2.087444039,-0.919962792,-1.58623144,-7.25363146,-5.144910303,-1.942160842,2.389651325,0.911582363,970.6,970.7,0
9708,43.52237245,0.492022056,-0.272339519,3.219628168,7.063784816,3.289656034,1.716688414,-1.340614057,-5.446476497,-2.174684872,-2.261492649,0.611284373,-0.535991932,970.7,970.8,0
9709,42.32901753,1.603703456,3.029821576,5.154816124,6.983494496,-0.485343346,-2.339112136,-2.226572021,-6.812127235,-3.881718784,-1.664851079,0.711428805,-2.88839362,970.8,970.9,0
9710,44.88101835,5.361360703,6.15850341,3.486020662,3.635774437,-2.095243046,-1.528555225,-2.094992602,-6.961930587,-3.586761317,-0.778679194,-0.233452601,-4.129719551,970.9,971,0
9711,40.96595648,1.381244682,6.496466897,6.428804151,6.179051793,-0.261824259,-1.551591878,-1.781978862,-6.288474704,-1.6250457,0.13512079,3.638381216,-0.548937536,971,971.1,0
9712,39.55828551,-1.123125091,1.774995932,6.412893364,9.638859225,0.644754198,-0.770996529,0.081846475,-4.717996401,-2.033550361,1.995229252,4.941598558,0.985903355,971.1,971.2,0
9713,40.28021982,0.063865147,3.913327083,5.019689721,6.676218342,0.684525463,-2.468649165,-0.699956056,-5.118574857,-2.395368484,0.145057366,2.663017,1.150822573,971.2,971.3,0
9714,41.03262022,-0.008926605,2.240573414,5.161327131,5.453695632,-0.331626984,2.094154521,1.766927245,-6.100426917,-4.738897606,-2.283073012,3.787768147,1.430014123,971.3,971.4,0
9715,40.28288144,0.55395229,5.393507145,7.536341206,6.728163284,-1.585364169,-1.841186453,-1.415063611,-6.161459771,-3.651478546,-1.699194539,2.80312554,-0.260577449,971.4,971.5,0
9716,41.0693716,0.206233943,3.599152187,7.533831917,7.244555238,-0.311588522,1.065310312,1.526656386,-4.509194933,-1.025400547,-0.364162794,2.024308224,0.224137582,971.5,971.6,0
9717,39.58641804,-0.682333675,3.555414973,6.701114779,7.859310268,-0.111460672,-0.285063716,1.234510353,-5.694746172,-2.639044446,1.309400763,3.026078542,-0.898063449,971.6,971.7,0
9718,42.00479843,2.129045872,5.245019525,5.134981821,4.888551849,-2.008590022,-2.119053285,-0.291917752,-3.928901936,-1.974875771,-2.171084994,-0.618287199,-4.144691733,971.7,971.8,0
9719,40.82057303,0.23727711,2.451674905,4.242405049,7.158731003,2.064023866,0.881062393,-0.816401365,-6.731959075,-4.654708972,-1.74683701,3.821974968,1.853025599,971.8,971.9,0
9720,49.47456568,-4.943126597,-1.027084289,16.38952375,0.95289145,2.077203189,-5.968026941,-2.963002198,-3.557750517,-2.584790186,-0.803650683,-2.445873797,3.394179454,971.9,972,0
9721,40.87484628,-0.30966775,2.933602817,7.661396352,7.452905198,-1.204299834,-0.120549126,-0.638014411,-6.835927899,-0.702903862,1.878583192,2.439356247,0.453994244,972,972.1,0
9722,41.18829055,0.716283112,4.151862711,5.948791903,5.704471293,-1.307638586,-2.114547641,-0.607802212,-5.350871016,-1.33142032,1.041465209,3.785095881,0.764482843,972.1,972.2,0
9723,40.80670591,-0.928362946,1.745192149,6.470679728,7.125004602,-0.187046908,-0.392086058,-1.149576612,-5.59888961,-2.358299095,-0.692189589,2.684266729,-0.287873698,972.2,972.3,0
9724,41.50270903,1.134355561,4.69578473,7.288892489,6.648878982,-1.707263035,-0.928746042,-1.243408497,-8.424875022,-4.261992489,-1.288634152,0.668188073,-0.870756605,972.3,972.4,0
9725,45.1824037,3.859459903,3.992975067,5.112710924,4.760707146,-2.498192699,-2.047228417,-0.99086172,-6.688489886,-5.029460897,-3.624464194,-1.270729157,-5.283573789,972.4,972.5,0
